"Item Name","Stamp/Batch","Op. Pc","Op.Tags","Op. Gr.Wt.","Op. Dia.Wt.","Rc. Pc","Rec.Tags","Rc. Gr.Wt.","Rc. Dia.Wt.","Is. Pc","Iss.Tags","Is. Gr.Wt.","Is. Dia.Wt.","Cl. Pc","Cl.Tags","Cl. Gr.Wt.","Cl. Dia.Wt."
"1","1","0","0","0.000","0.000","0","0","14.892","0.000","0","0","12.383","0.000","0","0","2.509","0.000"
"","","","","","","","","","","","","","","","","",""
"SILVER ORNAMENTS","","","","120542.600","","","","9874.001","","1","","1108.000","","-1","","129308.601",""
"1","1","0","0","120542.600","0.000","0","0","9874.001","0.000","1","0","1108.000","0.000","-1","0","129308.601","0.000"
"","","","","","","","","","","","","","","","","",""
"STERLING JEWELLERY","","","","3396.845","","","","","","","","","","","","3396.845",""
"1","1","0","0","3396.845","0.000","0","0","0.000","0.000","0","0","0.000","0.000","0","0","3396.845","0.000"
"","","","","","","","","","","","","","","","","",""
"TABIZ SL C","","","","","","","","","","2","","9.100","","-2","","-9.100",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","2","0","9.100","0.000","-2","0","-9.100","0.000"
"","","","","","","","","","","","","","","","","",""
"TIKA GOLD","NA","1","","1.610","","","","","","1","","1.610","","","","",""
"TIKA GOLD","18K","38","","127.730","","13","","34.450","","12","","43.570","","39","","118.610",""
"TIKA GOLD","22K","1","","5.630","","","","","","","","","","1","","5.630",""
"TIKA GOLD","20K","","","","","3","","14.940","","","","","","3","","14.940",""
"4","4","40","0","134.970","0.000","16","0","49.390","0.000","13","0","45.180","0.000","43","0","139.180","0.000"
"","","","","","","","","","","","","","","","","",""
"TOPS GOLD","NA","16","","12.430","","2","","1.420","","18","","13.850","","","","",""
"TOPS GOLD","22K","54","","102.610","","2","","3.660","","8","","15.990","","48","","90.280",""
"TOPS GOLD","18K","324","","518.882","","162","","237.300","","88","","132.052","","398","","624.130",""
"3","3","394","0","633.922","0.000","166","0","242.380","0.000","114","0","161.892","0.000","446","0","714.410","0.000"
"","","","","","","","","","","","","","","","","",""
"UTENCILLS & PUJA SL","","","","14761.351","","","","","","6","","31.000","","-6","","14730.351",""
"1","1","0","0","14761.351","0.000","0","0","0.000","0.000","6","0","31.000","0.000","-6","0","14730.351","0.000"
"","","","","","","","","","","","","","","","","",""
"104","104","1937","0","152577.735","60.532","954","0","14402.235","0.000","1768","0","16384.448","0.860","1123","0","150595.522","59.672"
